,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
0,BCM Paradise,3 BHK Flat for rent,"₹30,500 /month",None,None,3 Bedrooms,2 Bathrooms,3 Balconies,None,1600,"BCM Paradise
Tulsi Nagar , Indore",Family Only,None,None,"Owner on Jul 03, 2024",Vitrified,3rd   of 14 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Lift(s)
Swimming Pool
Park
Fitness Centre / GYM",3.5
1,Apollo DB City,1 Bedroom House for rent,"₹15,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,None,None,"Apollo DB City
Nipania, Indore","Family , Bachelors (Men Only)",None,None,"Owner on Jul 03, 2024",None,None,None,1 to 5 Year Old,1 Months,None,Charges not included,"Feng Shui / Vaastu Compliant
Park
Rain Water Harvesting",4.3
2,Earthshastra Nariman City,1 BHK Flat for rent,"₹8,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,620,None,"Earthshastra Nariman City
Super Corridor, Indore",All,None,None,"Owner on Jul 03, 2024",None,5th   of 6 Floors,None,0 to 1 Year Old,0 Months,None,Charges included,None,4.1
3,Hig Flat,1 BHK Flat for rent,"₹15,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,None,480,"Hig Flat
Vijay Nagar , Indore",All,None,None,"Owner on Jul 03, 2024",None,1st   of 2 Floors,None,1 to 5 Year Old,1 Months,None,Charges not included,None,4.4
4,Sata Siddhi Solitaire,2 BHK Flat for rent,"₹10,500 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,None,950,"Sata Siddhi Solitaire
Santer, Indore",Family Only,None,None,"Owner on Jul 03, 2024",None,6th   of 7 Floors,None,10+ Year Old,0 Months,None,Charges not included,None,None
5,shellputri paradise rajendra nagar,2 BHK Flat for rent,"₹16,500 /month",None,None,2 Bedrooms,2 Bathrooms,3+ Balconies,1250,845,"shellputri paradise rajendra nagar
dhanwantari nagar, Indore",All,None,None,"Owner on Jul 03, 2024",Vitrified,1st   of 3 Floors,None,1 to 5 Year Old,0 Months,None,Charges not included,None,None
6,Parinay Homes,3 BHK Flat for rent,"₹40,000 /month",None,None,3 Bedrooms,3 Bathrooms,3+ Balconies,2025,1550,"Parinay Homes
Bicholi Hapsi, Indore",Family Only,None,None,"Owner on Jul 03, 2024",Vitrified,3rd   of 6 Floors,None,10+ Year Old,1 Months,Yes,Charges not included,"Lift(s)
False Ceiling Lighting
Water Storage
Bank Attached Property
Piped-gas
Natural Light
Internet/wi-fi connectivity
Airy Rooms
Spacious Interiors
Low Density Society
Shopping Centre
Fitness Centre / GYM
Water softening plant",None
7,IDA Building Scheme 155,2 BHK Flat for rent,"₹12,500 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,None,1050,"IDA Building Scheme 155
Scheme 155, Indore",All,None,None,"Owner on Jul 03, 2024",Vitrified,5th   of 6 Floors,None,0 to 1 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
False Ceiling Lighting
Park
Recently Renovated
Security Personnel
Natural Light
Airy Rooms
Spacious Interiors",None
8,P Square,2 Bedroom House for rent,"₹18,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,None,"P Square
Scheme No 114 Indore, Indore",All,None,None,"Owner on Jul 03, 2024",None,None,None,5 to 10 Year Old,1 Months,None,Charges included,None,None
9,mr -3,Studio Apartments / 1 RK Flats for rent,"₹8,000 /month",None,None,1 Room,1 Bathroom,No Balcony,None,250,"mr -3
Mahalaxmi Nagar, Indore",Bachelors (Men/Women),None,None,"Owner on Jul 03, 2024",None,2nd   of 2 Floors,None,1 to 5 Year Old,0 Months,None,Charges not included,None,4.3
