,society_name,property_title,property_rent,types_of_rooms_available
0,Milan Heights,3 BHK Flat for rent,"₹55,000 /month",3BHK 3Baths
1,Earthshastra Nariman City,3 BHK Flat for rent,"₹15,000 /month",3BHK 3Baths
2,ak Houses,2 BHK Flat for rent,"₹16,000 /month",2BHK 2Baths
3,Divya Vihar,2 BHK Flat for rent,"₹12,000 /month",2BHK 2Baths
4,Sapphire Avenue,2 BHK Flat for rent,"₹35,000 /month",2BHK 2Baths
5,"Kalani Nagar, Indore",3 Bedroom House for rent,"₹22,000 /month",3Bedrooms 3Baths
6,Matrika Casa Greens,3 BHK Flat for rent,"₹22,000 /month",3BHK 2Baths
7,Vijay Nagar,Studio Apartments / 1 RK Flats for rent,"₹10,500 /month",1RK 1Bath
8,"Bijli Nagar, Bicholi Road",2 Bedroom House for rent,"₹9,000 /month",2Bedrooms 1Bath
9,"Mahalaxmi Nagar, Indore",1 BHK Independent Builder Floor for rent,"₹17,000 /month",1BHK 1Bath
10,"Scheme No 74C, Indore",3 Bedroom House for rent,"₹30,000 /month",3Bedrooms 3Baths
11,Mirchandani Shalimar Township,3 BHK Flat for rent,"₹26,000 /month",3BHK 3Baths
12,Mirchandani Premium Towers,3 BHK Flat for rent,"₹32,000 /month",3BHK 3Baths
13,"Vijay Nagar , Indore",3 Bedroom House for rent,"₹25,000 /month",3Bedrooms 3Baths
14,Luv Kush Apartments,1 BHK Flat for rent,"₹18,000 /month",1BHK 1Bath
15,Premier Towers,2 BHK Flat for rent,"₹25,000 /month",2BHK 2Baths
16,Shiv Vatika,3 BHK Flat for rent,"₹24,000 /month",3BHK 2Baths
17,Rukhmani Plaza,2 BHK Flat for rent,"₹25,000 /month",2BHK 2Baths
18,Man Royal Premium,2 BHK Flat for rent,"₹23,000 /month",2BHK 2Baths
19,Chandana Apartment,3 BHK Flat for rent,"₹36,000 /month",3BHK 2Baths
20,Sterling Skyline,2 BHK Flat for rent,"₹16,500 /month",2BHK 2Baths
21,Awho Complex,3 BHK Flat for rent,"₹24,500 /month",3BHK 2Baths
22,Shree Siddhivinayak Residency,1 BHK Flat for rent,"₹12,000 /month",1BHK 1Bath
23,BCM Paradise,3 BHK Flat for rent,"₹30,500 /month",3BHK 2Baths
24,Apollo DB City,1 Bedroom House for rent,"₹15,000 /month",1Bedroom 1Bath
