,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
0,Platinum Paradise,3 Bedroom House for rent,"₹48,000 /month",None,None,3 Bedrooms,3 Bathrooms,3 Balconies,None,None,"Platinum Paradise
Khandwa Road , Indore",All,None,None,"Owner on Jun 22, 2024",Vitrified,None,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Private Garden / Terrace
Water Storage
Park
Visitor Parking",3.7
1,tripathi boy's pg,1 BHK Independent Builder Floor for rent,"₹6,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,1,None,"tripathi boy's pg
Pandit Dindayal Upadhyay Nagar, Indore",Bachelors (Men Only),None,None,"Owner on Jun 22, 2024",None,Ground of 1 Floors,None,1 to 5 Year Old,0 Months,None,Charges included,None,None
2,Aadish Iris Park,2 BHK Flat for rent,"₹25,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,600,"Aadish Iris Park
Talawali Chanda, Indore",Family Only,None,None,"Owner on Jun 21, 2024",Marble,1st   of 6 Floors,Partial,1 to 5 Year Old,2 Months,Yes,Charges not included,"Lift(s)
Swimming Pool
Water Storage
Park
Visitor Parking
Fitness Centre / GYM
Club house / Community Center",4.0
3,Kusum Sanskruti Smart City,2 Bedroom House for rent,"₹15,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,None,"Kusum Sanskruti Smart City
Super Corridor, Indore",Family Only,None,None,"Owner on Jun 21, 2024",Vitrified,None,None,0 to 1 Year Old,1 Months,Yes,Charges not included,None,4.1
4,England city pipliya pala,Studio Apartments / 1 RK Flats for rent,"₹7,000 /month",None,None,1 Room,1 Bathroom,No Balcony,None,250,"England city pipliya pala
Ambikapuri, Indore",Bachelors (Men/Women),None,None,"Owner on Jun 20, 2024",None,Ground of 1 Floors,None,0 to 1 Year Old,0 Months,None,Charges included,None,None
5,society,1 BHK Independent Builder Floor for rent,"₹16,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,2500,None,"society
Hare Krishna Vihar, Indore",All,None,None,"Owner on Jun 20, 2024",Others,3rd   of 3 Floors,Full,0 to 1 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Water purifier
Maintenance Staff
Water Storage
Park
Visitor Parking
Rain Water Harvesting",None
6,apartment,Studio Apartments / 1 RK Flats for rent,"₹16,000 /month",None,None,1 Room,1 Bathroom,1 Balcony,None,None,"apartment
Hare Krishna Vihar, Indore",All,None,None,"Owner on Jun 20, 2024",Others,3rd   of 3 Floors,Full,0 to 1 Year Old,1 Months,Yes,Charges not included,None,None
7,Lotus Park,Studio Apartments / 1 RK Flats for rent,"₹14,000 /month",None,None,1 Room,1 Bathroom,1 Balcony,None,1250,"Lotus Park
Jakhiya, Indore",Family Only,None,None,"Owner on Jun 20, 2024",Vitrified,Ground of 3 Floors,None,1 to 5 Year Old,1 Months,Yes,Charges included,"Lift(s)
Water Storage
Park",None
8,EH 15,1 BHK Flat for rent,"₹14,000 /month",None,None,1 Bedroom,2 Bathrooms,No Balcony,None,450,"EH 15
Scheme No 54 Indore, Indore","Family , Bachelors (Women Only)",None,None,"Owner on Jun 19, 2024",Marble,1st   of 1 Floors,None,10+ Year Old,1 Months,None,Charges not included,Water Storage,4.2
9,Sakar Elite Apex,1 Bedroom House for rent,"₹15,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,None,None,"Sakar Elite Apex
Sector R Mahalakshmi Nagar, Indore",All,None,None,"Owner on Jun 19, 2024",None,None,None,1 to 5 Year Old,2 Months,None,Charges not included,None,None
