,price_in_crores,price_per_sqft,floorNum,property_type,noOfFloor,SuperBuiltupArea_sqft,BuiltupArea_sqft,CarpetArea_sqft,servantRoom,studyRoom,poojaRoom,storeRoom,otherAdditionalRoom,luxury_class
0,1.1,8461.0,8.0,1,1.0,,,1299.9574107,False,False,False,False,False,0
1,2.15,23889.0,0.0,0,3.0,,900.0,,False,True,True,True,False,0
2,9.0,19231.0,0.0,0,2.0,,4680.0,,True,True,True,True,False,1
3,1.7,8445.0,7.0,1,1.0,2010.0,,,False,False,False,False,False,0
4,4.0,11428.0,4.0,1,1.0,,,3499.9929756,True,True,False,False,False,2
5,0.17,544.0,12.0,1,1.0,,,3211.950744,False,False,False,False,False,0
6,0.38,4470.0,1.0,1,1.0,,,850.0259726999999,False,False,False,False,False,0
7,0.9,6950.0,12.0,1,1.0,,1295.0060121,,False,False,False,False,False,0
8,2.25,9615.0,0.0,0,1.0,,250.0,245.0,True,False,True,False,False,0
9,5.65,23870.0,0.0,0,3.0,,2367.0,,True,False,False,False,False,2
10,0.15,2296.0,0.0,0,1.0,,675.0,,False,False,False,False,False,0
11,2.85,12855.0,10.0,1,1.0,2217.0,,,True,False,False,False,False,0
12,1.83,6778.0,0.0,0,4.0,,2700.0,,False,False,True,False,False,2
13,8.4,34568.0,0.0,0,2.0,,2430.0,,True,False,True,True,False,2
14,0.07,2525.0,0.0,0,1.0,,297.0,,False,False,False,False,False,0
15,0.6,8571.0,14.0,1,1.0,700.0,,,False,False,False,False,False,0
16,1.54,10814.0,15.0,1,1.0,1424.0,1200.0,1139.0,False,False,False,False,True,0
17,1.25,6377.0,8.0,1,1.0,1960.0,,,False,False,False,False,False,0
18,7.35,41762.0,0.0,0,3.0,,2160.0,,True,False,True,False,False,2
19,0.55,98214.0,0.0,0,2.0,,55.972332,,False,False,False,False,False,0
20,1.4,8235.0,0.0,0,3.0,,15300.0,,False,False,True,False,False,0
21,17.0,37777.0,0.0,0,3.0,,40500.0,,True,True,True,True,False,1
22,1.8,12000.0,6.0,1,1.0,,,1499.9508585,True,False,False,False,False,2
23,1.02,7208.0,11.0,1,1.0,1415.0,,,False,False,False,False,False,0
24,1.85,9203.0,14.0,1,1.0,2010.0,,,False,False,False,False,False,2
25,2.45,10000.0,14.0,1,1.0,2450.0,,1840.0,True,False,False,False,False,2
26,0.79,4476.0,7.0,1,1.0,,1764.9583226999998,,False,False,False,False,False,0
27,3.49,13000.0,19.0,1,1.0,,,2452.018698,True,False,False,False,False,0
28,0.98,13343.0,4.0,1,1.0,1283.0,978.23,734.43,False,True,False,False,False,0
29,0.68,8252.0,3.0,1,1.0,,,823.9773104999999,False,False,False,False,False,0
30,1.7,18889.0,0.0,0,3.0,,61.0,60.0,False,False,False,False,False,0
31,1.1,8730.0,0.0,0,3.0,,1260.0,,False,False,False,False,False,0
32,0.9,4308.0,5.0,1,1.0,,,2088.9520137,True,False,False,False,False,0
33,1.25,6703.0,18.0,1,1.0,1865.0,,,False,False,False,False,False,0
34,0.92,6739.0,22.0,1,1.0,1365.0,,,False,False,False,False,False,0
35,1.62,9380.0,4.0,1,1.0,1727.0,,1017.0,False,False,False,True,False,2
36,2.75,178571.0,0.0,0,2.0,,,1650.0,False,False,False,False,True,2
37,3.8,15510.0,1.0,1,1.0,,2449.9735551,,True,False,True,False,False,2
38,1.5,7576.0,0.0,0,1.0,,1980.0,,False,False,False,False,False,0
39,0.5,7886.0,11.0,1,1.0,,,633.994299,False,False,False,False,False,1
40,1.75,6250.0,0.0,0,14.0,,,2800.0159083,False,False,False,False,False,0
